source,target,weight
1604,1649,12.846441728695055
1604,1698,120.00624983724806
1605,1698,135.04330581130057
1605,1699,94.41601794422621
1605,1743,39.24637279772206
1606,1650,97.61673922938513
1606,1651,85.67776841164806
1607,1652,190.05547052110867
1607,1653,8.306623862918087
1607,1608,127.70285532931227
1608,1653,131.05933064130974
1608,1701,136.45661364480438
1608,1748,138.67008706317066
1608,1749,136.33969791485248
1609,1701,2.487468592766553
1609,1702,42.92524186174015
1610,1655,38.92077248221372
1610,1656,128.2958300179706
1610,1703,67.62996747004985
1611,1656,23.41836885865453
1611,1657,75.14978376549062
1612,1659,199.61182955927237
1612,1707,190.8508498147179
1612,1660,24.22478643410046
1613,1660,16.959101129219995
1613,1661,185.76702853006205
1613,1662,181.13944904409973
1613,1614,31.256554868094828
1614,1662,180.29458918361607
1614,1663,10.531698185319724
1614,1709,199.02992795612982
1614,1710,193.5446043910522
1615,1663,194.56425673797332
1615,1711,17.961378318801458
1615,1712,24.592230028563453
1616,1664,223.19043158253896
1616,1713,76.24282753151276
1616,1714,5.361578851213305
1616,1796,95.46710821010552
1643,1691,56.456349903659586
1643,1692,6.109729796475544
1644,1645,17.680372042339933
1644,1692,9.226802130262708
1644,1693,13.620274409864143
1644,1782,40.86619086183046
1645,1693,16.72007069030777
1645,1646,10.198039027185569
1646,1693,26.291204433337697
1646,1740,15.980784947190312
1646,1741,146.97496007445923
1647,1697,146.972786596703
1647,1696,31.718936127980545
1647,1742,52.50820041775485
1648,1649,51.51634083260442
1648,1697,60.45984893574688
1648,1784,13.017680284904834
1648,1826,78.9172140072536
1649,1698,110.69271529298985
1649,1785,131.94995375466408
1649,1826,35.7654257694966
1649,1872,137.62973319109193
1650,1699,24.4921983043127
1650,1651,12.284452685316433
1650,1744,45.32056441647409
1651,1744,56.76866020305571
1651,1745,75.66352416381946
1651,1746,24.098858894146836
1652,1700,205.3079453663583
1652,1653,192.96676365374427
1652,1747,185.94429009210566
1652,1748,199.0251841245633
1653,1748,16.580170108184248
1653,1747,26.961877848971454
1654,1655,86.15449130418035
1654,1750,44.16792451039051
1654,1788,71.22182873872931
1655,1703,78.90022923584816
1655,1788,17.480216222451986
1655,1877,126.90226031662867
1655,1878,209.34614559019084
1656,1657,52.270354886876355
1656,1703,62.88070053681018
1656,1878,222.04243963711082
