node,R,G,B
1865,14.642857142857142,111.92857142857143,102.28571428571429
1866,35.333333333333336,223.33333333333334,76.33333333333333
1867,1.1666666666666667,83.5,138.83333333333334
1868,75.0,216.33333333333334,254.33333333333334
1869,12.4,188.2,42.8
1870,16.0,243.25,33.0
1871,8.666666666666666,246.0,14.666666666666666
1872,0.0,103.0,105.66666666666667
1873,18.416666666666668,137.16666666666666,169.33333333333334
1874,12.909090909090908,200.9090909090909,44.72727272727273
1875,0.0,107.5,59.5
1876,16.571428571428573,70.14285714285714,139.28571428571428
1877,0.0,103.0,93.0
1878,24.75,243.0,252.25
1879,0.5,254.5,3.5
1880,29.25,194.75,69.25
1881,16.0,165.5,61.666666666666664
1882,12.0,74.0,132.88888888888889
1883,30.75,169.125,91.375
1884,3.8,108.0,95.9
1885,1.1,82.0,138.2
1886,1.7777777777777777,17.444444444444443,7.888888888888889
1908,15.833333333333334,71.33333333333333,138.83333333333334
1909,16.5,240.5,36.0
1910,7.2,137.2,45.8
1911,8.0,110.5,94.83333333333333
1912,1.8,82.0,139.8
1913,3.4285714285714284,253.0,2.5714285714285716
1914,26.666666666666668,229.33333333333334,59.333333333333336
1915,0.0,94.33333333333333,80.33333333333333
1916,0.0,84.25,135.5
1917,52.333333333333336,229.5,254.66666666666666
1918,43.0,217.0,89.5
1919,0.0,88.66666666666667,93.66666666666667
1920,3.6666666666666665,83.33333333333333,105.33333333333333
1921,14.8,178.6,60.8
1922,0.0,91.0,114.25
1923,33.2,237.8,255.0
1924,14.0,143.83333333333334,84.83333333333333
1925,35.333333333333336,226.66666666666666,63.666666666666664
1926,0.0,104.0,56.5
1927,23.5,231.75,56.25
1928,76.2,217.8,254.2
1929,0.5,85.25,123.5
1951,31.0,68.33333333333333,114.33333333333333
1952,17.5,69.75,132.0
1953,15.142857142857142,98.71428571428571,112.85714285714286
1954,28.666666666666668,226.0,70.66666666666667
1955,0.75,92.25,89.25
1956,4.6,252.8,5.2
1957,14.142857142857142,248.42857142857142,253.57142857142858
1958,22.2,220.5,55.2
1959,21.0,159.5,86.5
1960,19.583333333333332,69.33333333333333,136.83333333333334
1961,53.0,206.66666666666666,111.66666666666667
1962,23.833333333333332,216.5,233.33333333333334
1963,1.0,91.2,105.8
1964,5.6,249.4,17.8
1965,2.75,252.75,5.25
1966,11.25,246.0,20.25
1967,0.0,97.0,60.5
1968,2.1666666666666665,87.83333333333333,93.33333333333333
1969,49.0,208.33333333333334,108.66666666666667
1970,0.0,100.5,86.0
1971,0.0,84.5,135.5
1972,0.0,88.5,125.5
1973,24.5,200.0,58.25
1974,2.0,82.33333333333333,139.33333333333334
1975,0.0,99.5,52.0
1997,7.666666666666667,26.666666666666668,66.33333333333333
1998,14.2,114.6,90.0
1999,5.6,251.2,8.0
2000,16.0,113.07692307692308,107.6923076923077
2001,16.0,69.28571428571429,139.57142857142858
2002,26.75,189.0,77.75
2003,0.0,96.0,75.33333333333333
2004,3.142857142857143,83.71428571428571,129.28571428571428
2005,0.0,94.0,138.0
2006,0.0,120.0,19.25
2007,17.2,209.6,51.8
2008,0.0,97.5,119.0
2009,76.66666666666667,217.66666666666666,252.66666666666666
2010,4.888888888888889,100.66666666666667,114.66666666666667
2011,0.0,85.0,94.5
2012,18.166666666666668,238.16666666666666,38.0
2013,7.0,79.0,109.0
2014,12.8,112.7,109.8
2015,4.1,78.6,134.7
2016,55.857142857142854,182.0,221.85714285714286
2017,45.333333333333336,160.0,120.66666666666667
2037,0.6,8.0,13.6
2038,24.0,43.4,58.2
2039,16.8,71.4,134.4
2040,14.222222222222221,94.77777777777777,108.33333333333333
2041,2.4,253.2,7.6
2042,8.0,212.55555555555554,34.333333333333336
